Place Id,Name,Address,Contact,URL,Lat,Lng,Service/Business,District
ChIJa5tyahRxdDkREN7iBtJ4UNA,Mansi Beauty salon,"30/6-17a dinesh nagar 1st, Fatehabad Rd, Opposite Saga Emporium, Tajganj, Agra, Uttar Pradesh 282001, India",073519 24401,https://maps.google.com/?cid=15010630401479859728,27.1576729,78.0466878,parlours,Agra
ChIJIw1dcqVxdDkRWsvaJ_yDVUA,Pro Plus Smart Salon,"Floor 18/149B, Shop No. 9B,9C First, 2, Fatehabad Rd, Agra, Uttar Pradesh 282001, India",074095 15234,https://maps.google.com/?cid=4635756510471441242,27.1616703,78.0346507,parlours,Agra
ChIJo0HLYad3dDkR_b_zWVM3peg,Kumkum,"Shop No.31, Pushpuneet Villa, Bodla Rd, Maruti Estate, Sulahkul Nagar, Agra, Uttar Pradesh 282010, India",094106 59462,https://maps.google.com/?cid=16763866019087499261,27.1841818,77.9723375,parlours,Agra
ChIJX7DzcqxxdDkR3SnXs9ioHCM,MAKEOVER BEAUTY PARLOUR,"SHAKYA MARKE, B-502/4, near RAM CHOCK MANDIR, Kaveri Kunj, Kamla Nagar, Agra, Uttar Pradesh 282004, India",098976 23210,https://maps.google.com/?cid=2530082739359001053,27.2147642,78.01874699999999,parlours,Agra
ChIJ4dMYvSR3dDkRLcUoq0tdeBA,Gorgeous Beauty Salon,"Gorgeous Beauty Salon, Yes Bank, Near Rei Inter College, Dayal Bagh Rd, Swamibagh, DayalBagh, Agra, Uttar Pradesh 282005, India",090126 58690,https://maps.google.com/?cid=1186801081387631917,27.2186602,78.0081597,parlours,Agra
ChIJnyKwrWB3dDkRT-Y_Faf30Yo,Kavir,"1st floor, Silver Point Premises, opp. Friend Trade Centre, Nehru Nagar, Civil Lines, Agra, Uttar Pradesh 282002, India",094125 92210,https://maps.google.com/?cid=10003048544354690639,27.2056611,78.00527249999999,parlours,Agra
ChIJD7HxeEt3dDkRke-LJ8mCTKE,Glam Professionals,"2nd Floor, Dayal Complex, Sikandra-Bodla Rd, Kargil Petrol Pump, Suruchipuram Colony, Sikandra, Agra, Uttar Pradesh 282007, India",,https://maps.google.com/?cid=11622808538799927185,27.2032215,77.95340809999999,parlours,Agra
ChIJW5SnL515dDkRPyMdFu-t2dA,Radhika Makeover Unisex Salon,"250B, Ellora Enclave, 100 Feet Rd, Ellora Enclave, DayalBagh, Agra, Uttar Pradesh 282005, India",094574 82060,https://maps.google.com/?cid=15049250872215020351,27.2300567,78.00459880000001,parlours,Agra
ChIJkcWkNEN3dDkRwcXwLJBjtDM,Triss Salon,"UG 4 , Vimal Plaza, Surya Nagar, Agra, Uttar Pradesh 282002, India",070880 09955,https://maps.google.com/?cid=3725712262622660033,27.2074955,78.0005211,parlours,Agra
ChIJi-HB3852dDkRK5WZ01w-Yg4,Golden glow parlour,"542, Sadar Bazar, Agra Cantt, Idgah Colony, Agra, Uttar Pradesh 282001, India",,https://maps.google.com/?cid=1036459432656606507,27.157758,78.011066,parlours,Agra
ChIJIRodUmhxdDkRvivpfaZZToc,Faria Makeover Salon,"Agra Shamshabad Raja Kherah Marg, near sbi atm, Rajpur Chungi, Shaheed Nagar, Shamsabad, Agra, Uttar Pradesh 282001, India",090274 08881,https://maps.google.com/?cid=9749828814915578814,27.1497157,78.0360634,parlours,Agra
ChIJ4QB5cLFxdDkRU1yVkdQbglY,PeachyGlow,"LG-2, Mughal Apartment, Fatehabad Rd, opposite ITC Mughal Hotel, Tajganj, Agra, Uttar Pradesh 282001, India",,https://maps.google.com/?cid=6233575434023689299,27.1597528,78.04263619999999,parlours,Agra
